Producción Chilena de Cobre de Mina/ Chilean Copper Mine Production,Unidad,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Chuquicamata (1),Miles TM,"231,1","249,6","275,8","274,8",288,"252,7","303,5","276,9","279,2","283,4","264,9","285,5","265,5","297,1",389,"304,6","445,5","477,8","500,7","507,2","510,9","472,4","552,8","558,8",563,"549,1","515,8","502,9",519,"660,4","680,7","641,4","628,2","616,7","606,2","610,2","632,3","650,2","650,2","630,1","630,1","641,9","596,8","601,1","691,8","676,1",634,615,"469,9",574,"528,4","443,4","355,9",339,"340,4","308,6",302,"330,9","320,7"
Escondida,Miles TM,"674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","674,3375","8,9","298,4","336,1","388,8","483,6","466,9","841,4","932,7","867,6","958,5","916,6","794,1",758,"994,7","1,195.1","1,271.5","1,255.6","1,483.9","1,254.0","1,103.7","1,086.7","817,7","1,075.9","1,193.7","1,165.4","1,152.5","1,002.0","925,4","1,242.7"
